component_index,nodes,edges,is_dag,longest_simple_path_if_dag,condensation_longest_path_hops,condensation_longest_path_nodes,directed_diameter,avg_shortest_path_est,pairs_considered,method,comp_time_sec
207,6,11,True,5,5,6,2,0.9047619047619048,21,exact_parallel,0.0117
208,6,6,True,2,2,3,1,0.5,12,exact_parallel,0.0096
209,6,5,True,2,2,3,2,0.5833333333333334,12,exact_parallel,0.0099
210,6,11,True,4,4,5,2,0.85,20,exact_parallel,0.0106
211,6,5,True,2,2,3,2,0.5833333333333334,12,exact_parallel,0.01
212,6,8,True,2,2,3,2,0.75,16,exact_parallel,0.0114
213,6,7,True,2,2,3,2,0.6428571428571429,14,exact_parallel,0.0104
214,6,9,True,3,3,4,2,0.8333333333333334,18,exact_parallel,0.0113
215,6,6,True,3,3,4,3,0.9375,16,exact_parallel,0.0088
216,6,6,True,2,2,3,2,0.6153846153846154,13,exact_parallel,0.0103
217,6,8,True,4,4,5,2,0.8235294117647058,17,exact_parallel,0.0115
218,6,6,True,3,3,4,3,1.0,17,exact_parallel,0.0091
219,6,8,True,3,3,4,2,0.75,16,exact_parallel,0.0088
220,6,5,True,3,3,4,3,1.0625,16,exact_parallel,0.0099
221,6,7,True,3,3,4,2,0.7333333333333333,15,exact_parallel,0.0101
222,6,5,True,2,2,3,2,0.7857142857142857,14,exact_parallel,0.0111
223,6,6,True,2,2,3,2,0.7142857142857143,14,exact_parallel,0.0128
224,6,7,True,2,2,3,1,0.5384615384615384,13,exact_parallel,0.0093
225,6,7,True,3,3,4,3,0.875,16,exact_parallel,0.0092
226,6,5,True,2,2,3,2,0.7857142857142857,14,exact_parallel,0.0128
227,6,8,True,3,3,4,1,0.5714285714285714,14,exact_parallel,0.0101
228,6,11,True,3,3,4,1,0.6470588235294118,17,exact_parallel,0.0105
229,6,6,True,2,2,3,2,0.9411764705882353,17,exact_parallel,0.0096
230,6,5,True,2,2,3,2,0.5833333333333334,12,exact_parallel,0.0091
231,6,5,True,2,2,3,2,0.6923076923076923,13,exact_parallel,0.01
232,6,11,True,3,3,4,1,0.6470588235294118,17,exact_parallel,0.0092
233,6,7,True,2,2,3,2,0.6428571428571429,14,exact_parallel,0.0142
234,6,7,True,2,2,3,2,0.6428571428571429,14,exact_parallel,0.0232
235,6,5,True,2,2,3,2,0.5833333333333334,12,exact_parallel,0.0126
236,6,10,True,4,4,5,3,0.8947368421052632,19,exact_parallel,0.0111
237,6,6,True,3,3,4,2,0.8,15,exact_parallel,0.0113
238,6,5,True,2,2,3,2,0.6923076923076923,13,exact_parallel,0.0102
239,6,7,True,3,3,4,2,0.6428571428571429,14,exact_parallel,0.0099
240,6,8,True,3,3,4,2,0.8235294117647058,17,exact_parallel,0.0095
241,6,5,True,3,3,4,3,0.9333333333333333,15,exact_parallel,0.0097
242,6,10,True,3,3,4,2,0.7058823529411765,17,exact_parallel,0.0107
243,6,9,True,4,4,5,2,0.95,20,exact_parallel,0.0111
244,6,5,True,2,2,3,2,0.7857142857142857,14,exact_parallel,0.0098
245,6,5,True,1,1,2,1,0.45454545454545453,11,exact_parallel,0.0102
246,6,5,True,1,1,2,1,0.45454545454545453,11,exact_parallel,0.0097
247,6,7,True,2,2,3,2,0.6428571428571429,14,exact_parallel,0.0207
248,6,5,True,1,1,2,1,0.45454545454545453,11,exact_parallel,0.0171
249,6,9,True,2,2,3,1,0.6,15,exact_parallel,0.0133
250,6,7,True,3,3,4,2,0.8125,16,exact_parallel,0.0118
251,6,8,True,2,2,3,1,0.5714285714285714,14,exact_parallel,0.0091
252,6,10,True,4,4,5,2,0.9,20,exact_parallel,0.012
253,6,6,True,2,2,3,2,0.8,15,exact_parallel,0.009
254,6,6,True,3,3,4,3,1.0,17,exact_parallel,0.0085
255,6,7,True,3,3,4,2,0.6428571428571429,14,exact_parallel,0.0091
256,6,9,True,3,3,4,2,0.6875,16,exact_parallel,0.0113
257,6,8,True,3,3,4,2,0.75,16,exact_parallel,0.0106
258,6,10,True,4,4,5,2,0.9,20,exact_parallel,0.0094
259,6,7,True,3,3,4,2,0.8823529411764706,17,exact_parallel,0.0095
260,6,9,True,3,3,4,1,0.6,15,exact_parallel,0.0101
261,5,8,True,3,3,4,1,0.6153846153846154,13,exact_parallel,0.0085
262,5,4,True,2,2,3,2,0.6,10,exact_parallel,0.0086
263,5,4,True,2,2,3,2,0.7272727272727273,11,exact_parallel,0.0078
264,5,6,True,2,2,3,2,0.6666666666666666,12,exact_parallel,0.0076
265,5,8,True,3,3,4,2,0.7142857142857143,14,exact_parallel,0.0077
266,5,7,True,3,3,4,1,0.5833333333333334,12,exact_parallel,0.008
267,5,6,True,3,3,4,2,0.6666666666666666,12,exact_parallel,0.0087
268,5,4,True,1,1,2,1,0.4444444444444444,9,exact_parallel,0.0086
269,5,4,True,2,2,3,2,0.6,10,exact_parallel,0.0082
270,5,5,True,2,2,3,2,0.6363636363636364,11,exact_parallel,0.008
271,5,4,True,2,2,3,2,0.6,10,exact_parallel,0.0082
272,5,5,True,2,2,3,2,0.6363636363636364,11,exact_parallel,0.008
273,5,5,True,3,3,4,2,0.75,12,exact_parallel,0.0079
274,5,6,True,2,2,3,1,0.5454545454545454,11,exact_parallel,0.0081
275,5,5,True,2,2,3,2,0.75,12,exact_parallel,0.0092
276,5,4,True,1,1,2,1,0.4444444444444444,9,exact_parallel,0.026
277,5,5,True,2,2,3,2,0.6363636363636364,11,exact_parallel,0.0112
278,5,4,True,1,1,2,1,0.4444444444444444,9,exact_parallel,0.0097
279,5,5,True,2,2,3,2,0.6363636363636364,11,exact_parallel,0.0087
280,5,4,True,2,2,3,2,0.6,10,exact_parallel,0.0098
281,5,5,True,2,2,3,1,0.5,10,exact_parallel,0.0087
282,5,6,True,3,3,4,2,0.6666666666666666,12,exact_parallel,0.0086
283,5,5,True,2,2,3,1,0.5,10,exact_parallel,0.0099
284,5,4,True,1,1,2,1,0.4444444444444444,9,exact_parallel,0.0083
285,5,5,True,3,3,4,2,0.75,12,exact_parallel,0.0081
286,5,4,True,2,2,3,2,0.6,10,exact_parallel,0.0079
287,5,6,True,2,2,3,2,0.6666666666666666,12,exact_parallel,0.0104
288,5,4,True,1,1,2,1,0.4444444444444444,9,exact_parallel,0.0079
289,5,6,True,4,4,5,3,1.0,15,exact_parallel,0.0083
290,5,4,True,1,1,2,1,0.4444444444444444,9,exact_parallel,0.0092
291,5,5,True,2,2,3,1,0.5,10,exact_parallel,0.0089
292,5,5,True,2,2,3,1,0.5,10,exact_parallel,0.0081
293,5,7,True,3,3,4,1,0.5833333333333334,12,exact_parallel,0.0077
294,5,4,True,2,2,3,2,0.7272727272727273,11,exact_parallel,0.0084
295,5,5,True,3,3,4,3,1.0,14,exact_parallel,0.0089
296,5,6,True,2,2,3,1,0.5454545454545454,11,exact_parallel,0.0085
297,5,6,True,2,2,3,1,0.5454545454545454,11,exact_parallel,0.008
298,5,6,True,3,3,4,2,0.7692307692307693,13,exact_parallel,0.0082
299,5,5,True,2,2,3,1,0.5,10,exact_parallel,0.0081
300,5,4,True,1,1,2,1,0.4444444444444444,9,exact_parallel,0.0105
301,5,4,True,1,1,2,1,0.4444444444444444,9,exact_parallel,0.01
302,5,4,True,1,1,2,1,0.4444444444444444,9,exact_parallel,0.0108
303,5,4,True,2,2,3,2,0.6,10,exact_parallel,0.0102
304,5,6,True,3,3,4,2,0.7692307692307693,13,exact_parallel,0.0123
